RXF393	ACHN	UO-31	NCI-H226	NCI-H322M	UACC-257	SK-MEL-2	A549	UACC-62	HOP 92	EKVX	NCI-H23	HOP 62	HCC2998	HCT-15	COLO 205	SNB-19	SW-620	KM12	HT-29	HCT-116	TK-10	SN12C	HL-60(TB)	CCRF-CEM	786-0	CAKI-1	A498	PC-3	SK-MEL-28	SK-MEL-5	RPMI 8226	SR	K-562	MOLT-4	M14	MDA-MB-435	MALME-3M	LOX-IMVI	SK-OV-3	DU-145	NCI-H460	NCI-H522	IGR-OV1	NCI/ADR-RES	OVCAR-3	OVCAR-8	OVCAR-4	OVCAR-5	SNB-75	U251	HS-578T	BT-549	MDA-MB-231	MCF-7	SF-539	T-47D	SF-268	SF-295
5P_tRNA-Asp-GTC-2-6	5.79546816424908	4.31224001996388	5.78849286845042	0	0	0	5.40912118708691	0	7.95546851247278	0	7.46050789801765	0	0	0	0	6.7057582528382	9.2789584796884	7.33114629405471	6.29978803667852	7.81795441090645	7.29244348476966	4.00801182344413	7.11546193973144	7.2820762079418	6.40238584039503	6.9133511770585	0	5.03578141366379	5.41052474179241	6.11889628242868	4.83391009524471	0	7.85251774849373	0	4.01201964617332	7.05334789468983	0	0	0	4.37960113048283	5.33410710117128	0	8.15865165012862	6.05786072666311	6.05381034286533	0	4.26613405980777	5.84614017433962	6.97289074709413	7.65613287951814	0	6.88633129742011	5.78837754987883	6.92960597071782	6.98247768824594	5.06728289869606	0	5.48595515757823	0
5P_tRNA-Asp-GTC-2-8	0	0	11.137832248919	0	7.13551753167803	0	0	0	11.1202178490515	0	0	6.55920099626688	0	0	0	4.18829681786447	7.69863323996027	11.6445377391084	5.31798536054297	0	0	4.00801182344413	0	4.99675723287257	0	0	0	0	0	0	0	5.14766910448229	0	4.00786891984203	4.01201964617332	4.30973516880555	0	0	0	5.3445241543007	5.33410710117128	6.90618616425955	6.17371866225589	5.65002386973591	0	0	3.71818228871362	0	4.23284981887206	8.06938118174774	9.30631522497409	0	5.78837754987883	0	7.97676198951559	0	9.53840434099357	0	0
5P_tRNA-Cys-GCA-11-1	8.23348896435409	7.05596579567719	8.35153852868287	0	0	0	0	6.95236359001907	8.95255948602296	0	7.46050789801765	8.54768100013454	8.23387133170927	0	0	6.7057582528382	7.69863323996027	8.3266596176968	7.29060257066136	6.24572249046456	9.28552465663178	4.9624658404336	7.11546193973144	4.99675723287257	6.66257485944621	7.90735436046458	8.35497724972717	8.90102892474055	6.97269542101028	0	5.80839321231788	6.44496945981655	0	0	6.2605770070975	4.30973516880555	5.80983676516216	0	0	6.64498926018374	5.33410710117128	7.48713363978931	7.16369149159585	6.37545112195843	0	6.60075836562893	5.44503218881158	6.83354583910078	7.48401434460662	9.06669321880511	0	5.10914623826512	6.77526638718071	7.22694554813024	6.98247768824594	7.03464403504051	8.21938349572635	5.48595515757823	6.99845847749197
5P_tRNA-Cys-GCA-15-1	0	5.84795768550529	0	0	0	0	0	5.96396623529933	0	0	0	0	0	5.58533407463231	0	8.11213164918241	0	0	5.31798536054297	0	0	0	0	0	4.14711580717588	0	0	0	0	0	0	0	0	0	5.53610193076937	0	0	0	0	0	0	0	6.17371866225589	6.63558646551934	0	0	3.71818228871362	0	0	6.08540463102311	8.3085921658219	4.15035138968771	0	0	0	0	0	0	0
5P_tRNA-Cys-GCA-2-3	0	4.31224001996388	0	0	7.13551753167803	0	0	0	0	0	0	0	6.2481766851706	0	0	5.71951349201756	0	0	0	0	0	5.53192111239347	7.11546193973144	0	4.14711580717588	0	4.81768782631636	6.01362220174587	0	0	0	0	6.85874638969144	0	0	0	0	0	0	4.37960113048283	0	0	0	4.12140816584521	0	0	2.82383737707661	0	4.23284981887206	8.65255226374326	0	4.15035138968771	0	0	0	0	0	0	0
5P_tRNA-Cys-GCA-3-1	0	5.27546487428144	5.78849286845042	0	7.13551753167803	0	4.44267994849198	0	0	0	7.46050789801765	0	0	5.58533407463231	6.0507454362995	4.18829681786447	0	0	5.31798536054297	0	0	0	0	0	0	0	0	5.03578141366379	0	0	0	0	0	0	4.96660202473128	5.2728952946189	0	0	0	0	0	0	0	0	0	0	0	0	0	6.08540463102311	8.3085921658219	4.15035138968771	0	0	0	0	7.22421593053486	4.51779249008501	0
5P_tRNA-Cys-GCA-4-1	4.82121264224322	0	0	7.29199698403476	0	0	4.44267994849198	0	0	0	0	0	0	5.58533407463231	0	4.18829681786447	7.69863323996027	0	0	0	0	4.00801182344413	0	4.99675723287257	5.10581680291084	0	4.81768782631636	5.03578141366379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.07935572491309	0	0	0	0	4.23284981887206	0	0	0	0	0	0	0	7.22421593053486	0	0
5P_tRNA-Cys-GCA-5-1	0	6.25671968838299	0	0	0	0	0	0	0	0	0	0	6.2481766851706	0	0	7.28610637464079	0	7.33114629405471	5.31798536054297	5.26461017598867	0	4.00801182344413	8.69347160600518	0	4.14711580717588	0	7.09809853694262	0	6.39346472075426	0	0	0	8.43539804526646	0	0	0	0	0	0	0	0	0	6.17371866225589	5.07935572491309	0	0	3.71818228871362	0	4.23284981887206	7.07474212986077	8.3085921658219	0	0	0	0	0	0	0	0
5P_tRNA-Cys-GCA-7-1	0	5.84795768550529	0	7.29199698403476	0	0	0	0	0	0	0	0	0	0	0	5.14817632009443	0	7.33114629405471	0	0	0	0	0	4.99675723287257	4.14711580717588	0	4.81768782631636	5.03578141366379	0	5.13950719743702	0	0	0	0	4.96660202473128	0	0	0	0	0	5.33410710117128	0	0	5.65002386973591	0	0	0	0	5.19396597076141	7.07474212986077	0	5.10914623826512	0	5.82787018992396	0	0	7.22421593053486	0	0
5P_tRNA-Cys-GCA-9-1	0	6.83537927597934	6.36472854638919	7.29199698403476	7.13551753167803	0	4.44267994849198	5.96396623529933	0	8.2754562313889	9.45435151771181	6.55920099626688	0	0	0	6.44548540669205	7.69863323996027	9.6458889939049	6.29978803667852	0	7.29244348476966	4.9624658404336	0	5.97398562506698	7.07404771534139	0	7.94140777574875	7.58362051977582	6.39346472075426	0	0	0	7.85251774849373	0	7.10018641653304	5.2728952946189	0	0	0	0	7.62713633415049	6.90618616425955	0	4.12140816584521	6.05381034286533	5.61554674226876	3.71818228871362	6.83354583910078	5.19396597076141	9.38808311961035	10.3051754055332	4.15035138968771	5.78837754987883	5.56990659411337	0	0	9.21696119473549	0	0
5P_tRNA-Cys-GCA-9-2	0	5.84795768550529	6.36472854638919	8.28738669178884	0	0	0	5.96396623529933	7.95546851247278	0	0	6.55920099626688	0	6.57023109303749	6.0507454362995	4.18829681786447	0	0	6.29978803667852	5.26461017598867	8.28783462142685	0	0	4.99675723287257	6.08471533100418	0	6.3681360087105	6.01362220174587	0	0	0	4.18780351567234	0	6.256209400438	5.53610193076937	4.30973516880555	0	0	6.18204847047257	4.37960113048283	7.30703147689651	0	7.16369149159585	7.50344505928345	0	0	2.82383737707661	0	6.17412384931066	9.97232771576743	0	8.6552747779615	0	3.36461945808204	6.98247768824594	5.06728289869606	8.21938349572635	5.48595515757823	0
5P_tRNA-Cys-GCA-9-3	4.82121264224322	5.84795768550529	6.36472854638919	0	0	0	0	0	7.95546851247278	0	0	6.55920099626688	0	0	7.03982269443784	6.12768976514772	7.69863323996027	8.3266596176968	0	0	0	0	0	0	5.10581680291084	0	6.77880057705721	6.01362220174587	0	5.13950719743702	0	4.18780351567234	6.85874638969144	0	0	4.30973516880555	0	0	0	4.37960113048283	5.33410710117128	5.9181646290821	7.16369149159585	5.07935572491309	6.05381034286533	0	4.26613405980777	0	0	8.06938118174774	0	4.15035138968771	0	4.85304786772246	6.98247768824594	0	8.21938349572635	4.51779249008501	5.03191679950609
5P_tRNA-Cys-GCA-9-4	0	4.31224001996388	4.8143610080013	7.29199698403476	0	0	0	5.96396623529933	0	0	0	0	0	0	0	5.71951349201756	0	0	0	0	0	0	0	0	0	0	5.7918798054421	5.03578141366379	0	0	0	0	0	0	0	0	5.80983676516216	0	0	0	0	0	0	4.12140816584521	0	0	2.82383737707661	5.84614017433962	0	0	0	0	0	3.36461945808204	0	5.06728289869606	0	0	0
5P_tRNA-Gln-CTG-1-1	0	0	6.36472854638919	0	7.13551753167803	0	0	5.96396623529933	0	0	8.4564065648612	0	0	0	0	5.71951349201756	7.69863323996027	0	0	0	0	0	0	0	0	0	4.81768782631636	0	0	0	0	0	0	0	4.96660202473128	0	0	0	6.18204847047257	0	6.31611326204071	5.9181646290821	0	4.12140816584521	0	6.60075836562893	2.82383737707661	5.84614017433962	4.23284981887206	0	0	5.10914623826512	0	0	7.97676198951559	0	0	0	0
5P_tRNA-Gln-CTG-1-2	4.82121264224322	0	4.8143610080013	0	7.13551753167803	0	0	0	0	6.28935707873887	0	7.55153122875961	0	0	6.0507454362995	4.18829681786447	0	0	0	0	0	0	0	0	6.08471533100418	0	4.81768782631636	6.01362220174587	5.41052474179241	5.13950719743702	5.80839321231788	4.18780351567234	0	4.96231835315136	5.53610193076937	0	0	0	0	4.37960113048283	5.33410710117128	0	0	0	7.04291086877084	5.61554674226876	4.9727918827142	6.83354583910078	4.23284981887206	6.08540463102311	0	4.15035138968771	0	6.2365440098789	0	0	0	5.48595515757823	0
5P_tRNA-Gln-CTG-2-1	0	4.31224001996388	0	0	0	0	0	0	0	0	0	6.55920099626688	0	0	6.0507454362995	0	0	0	5.31798536054297	0	0	0	7.11546193973144	0	0	0	0	5.03578141366379	0	0	6.38474879779117	6.12717529429819	0	4.96231835315136	4.01201964617332	0	0	0	6.18204847047257	0	5.33410710117128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.03191679950609
5P_tRNA-Gln-CTG-6-1	0	0	4.8143610080013	0	0	0	0	0	0	0	0	6.55920099626688	0	0	0	0	0	0	5.31798536054297	0	0	0	0	0	0	0	4.81768782631636	5.03578141366379	5.41052474179241	0	0	0	0	0	4.01201964617332	0	0	0	0	4.37960113048283	0	6.90618616425955	6.17371866225589	4.12140816584521	0	5.61554674226876	0	0	5.19396597076141	0	8.3085921658219	0	0	3.36461945808204	0	0	0	0	0
5P_tRNA-Gln-TTG-3-3	0	4.31224001996388	4.8143610080013	0	0	0	0	0	0	7.86196990153433	0	0	0	0	0	5.14817632009443	0	0	0	0	0	0	0	0	5.10581680291084	0	0	6.59112201281005	5.41052474179241	0	0	6.12717529429819	0	0	4.01201964617332	0	5.80983676516216	0	0	4.37960113048283	0	0	0	0	0	0	4.26613405980777	0	5.19396597076141	7.07474212986077	8.3085921658219	5.10914623826512	0	0	0	0	7.22421593053486	0	0
5P_tRNA-Glu-CTC-1-1	0	5.84795768550529	4.8143610080013	0	0	0	0	0	0	0	0	0	6.2481766851706	0	7.03982269443784	4.18829681786447	0	0	0	5.26461017598867	0	0	0	0	0	5.92527054387858	4.81768782631636	5.03578141366379	0	0	0	4.18780351567234	7.85251774849373	0	5.53610193076937	4.30973516880555	0	0	0	0	5.33410710117128	0	0	4.12140816584521	0	5.61554674226876	0	5.84614017433962	5.19396597076141	7.07474212986077	0	5.10914623826512	0	3.36461945808204	0	0	0	0	0
5P_tRNA-Glu-CTC-1-7	0	4.31224001996388	4.8143610080013	0	0	0	0	0	0	0	0	0	0	0	0	4.18829681786447	0	0	0	0	0	0	0	0	4.14711580717588	5.92527054387858	0	5.03578141366379	0	5.13950719743702	4.83391009524471	0	0	0	4.01201964617332	0	0	0	6.18204847047257	0	0	0	0	4.12140816584521	0	0	0	0	5.19396597076141	0	0	0	0	3.36461945808204	0	0	7.22421593053486	0	0
5P_tRNA-Glu-TTC-1-2	4.82121264224322	4.31224001996388	5.78849286845042	8.28738669178884	0	0	0	6.95236359001907	7.95546851247278	0	8.4564065648612	0	0	0	0	4.18829681786447	9.2789584796884	8.3266596176968	5.31798536054297	0	0	4.9624658404336	7.11546193973144	0	4.14711580717588	0	6.3681360087105	7.00241364119802	0	5.13950719743702	0	0	0	0	4.96660202473128	0	0	0	0	0	0	6.90618616425955	7.74529605497969	6.05786072666311	0	5.61554674226876	0	0	5.19396597076141	8.06938118174774	8.3085921658219	4.15035138968771	0	4.29283117424774	6.98247768824594	5.06728289869606	8.21938349572635	4.51779249008501	0
